Title;Release Year;Protagonist
  Assassin's Creed;2007;Altair Ibn La Ahad
Assassin's Creed: Altair's Chronicles;2008;Altair Ibn La Ahad
Assassin's Creed II;2009;Ezio Auditore Da Firenze
Assassin's Creed: Bloodlines;2009;Altair Ibn La Ahad
Assassin's Creed II: Discovery;2009;Ezio Auditore Da Firenze
Assassin's Creed: Brotherhood;2010;Ezio Auditore Da Firenze
Assassin's Creed: Revelations;2011;Ezio Auditore Da Firenze
Assassin's Creed III;2012;Connor Kenway
Assassin's Creed III: Liberation;2012;Aveline de Grandpré
Assassin's Creed IV: Black Flag;2013;Edward Kenway
Assassin's Creed Rogue;2014;Shay Patrick Cormac
Assassin's Creed Unity;2014;Arno Dorian
  Assassin's Creed: Freedom Cry;2014;Adewale
Assassin's Creed Syndicate;2015;Jacob, Evie
Assassin's Creed Chronicles: China;2015;Shao Jun
Assassin's Creed Chronicles: India;2016;Arbaaz Mir
Assassin's Creed Chronicles: Russia;2016;Nikolai Orelov
Assassin's Creed Origins;2017;Bayek Of Siwa
Assassin's Creed Unity: Arno's Chronicles;2017;Arno Dorian
Assassin's Creed Odyssey;2018;Kassandra, Alexios
  Assassin's Creed Rebellion;2018;All
Assassin's Creed Valhalla;2020;Eivor Varinsdottir
